Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
02;8;78;Vorschriften & Gesetze;Welche Sicherheitsmaßnahmen hat der Fahrzeugführer im Rahmen seiner seemännischen Sorgfaltspflicht vor Fahrtantritt zum Schutze und für die Sicherheit der Personen an Bord zu treffen?;;Der Fahrzeugführer hat die verantwortlichen Besatzungsmitglieder über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer muss die Besatzungsmitglieder und Gäste anweisen, dass sie sich über die Sicherheitsvorkehrungen an Bord informieren, sich die Gebrauchsanweisungen der Rettungs- und Feuerlöschmittel ansehen und auf geeignete Maßnahmen gegen das Überbordfallen achten, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer hat die Gäste an Bord über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer hat die Besatzungsmitglieder und Gäste über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;D;Der Fahrzeugführer hat die Besatzungsmitglieder und Gäste über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;9;89;Grundlagen;"Was bedeutet ""in Sicht befindlich""?";;Wenn jeder Fahrzeugführer vom anderen optisch wahrgenommen werden kann.;Wenn jedes Fahrzeug vom anderen optisch wahrgenommen werden kann.;Wenn beide Fahrzeuge optisch wahrgenommen werden können.;Wenn jedes Fahrzeug auch bei unsichtigem Wetter optisch wahrgenommen werden kann.;B;Wenn jedes Fahrzeug vom anderen optisch wahrgenommen werden kann.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;10;93;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Lichter?;;Manövrierbehinderter Schleppverband in Fahrt von 200 m Länge oder weniger, ohne Fahrt durchs Wasser.;Manövrierbehinderter Schleppverband in Fahrt von mehr als 200 m Länge.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser von 50 und mehr Meter Länge.;Manövrierbehinderter Schleppverband in Fahrt von 200 m Länge oder weniger.;D;Manövrierbehinderter Schleppverband in Fahrt von 200 m Länge oder weniger.;bilder/spezifische_fragen_see_Lichter-Frage-93-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-93-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;11;100;Lichterführung & Signalkörper;Welche Lichter führen manövrierunfähige Fahrzeuge von 12 und mehr Meter Länge in Fahrt, ohne Fahrt durch das Wasser?;;Drei rote Rundumlichter senkrecht übereinander.;Zwei rote Rundumlichter senkrecht übereinander und zusätzlich die Seitenlichter und das Hecklicht.;Drei rote Rundumlichter senkrecht übereinander und zusätzlich die Seitenlichter und das Hecklicht.;Zwei rote Rundumlichter senkrecht übereinander.;D;Zwei rote Rundumlichter senkrecht übereinander.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;12;118;Signale;Welche Fahrzeuge geben bei verminderter Sicht mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, kurz, kurz?;;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker, ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Maschinenfahrzeug in Fahrt, das Fahrt durchs Wasser macht, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;D;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;bilder/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;13;122;Signale;Welches Fahrzeug gibt bei verminderter Sicht mindestens jede Minute etwa 5 Sekunden lang rasches Läuten der Glocke?;;Ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt.;Ein Fahrzeug vor Anker von weniger als 100 m Länge.;Ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein Fahrzeug vor Anker von 100 und mehr Meter Länge.;B;Ein Fahrzeug vor Anker von weniger als 100 m Länge.;bilder/spezifische_fragen_see_Schallsignal-Frage-122-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-122-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;14;134;Lichterführung & Signalkörper;Wie muss man sich gegenüber diesem Fahrzeug verhalten?;;Die sichere Durchfahrt des Fahrzeugs darf nicht behindert werden.;Das Fahrzeug muss an Steuerbord passiert werden.;Sog und Wellenschlag vermeiden.;Kurs und Geschwindigkeit beibehalten.;A;Die sichere Durchfahrt des Fahrzeugs darf nicht behindert werden.;bilder/spezifische_fragen_see_Fahrzeug-Frage-134-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Fahrzeug-Frage-134-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;15;139;Verkehrsvorschriften;Wie verhält man sich als Kurshalter, wenn man feststellt, dass ein anderes Fahrzeug seiner Ausweichpflicht nicht nachkommt und die Gefahr einer unmittelbaren Kollision bevorsteht?;;Man behält Kurs und Geschwindigkeit zunächst bei und widmet dem Ausweichpflichtigen besondere Aufmerksamkeit.;"Man gibt mindestens fünf kurze Töne mit der Pfeife ab und führt das ""Manöver des letzten Augenblicks"" durch. Dabei ist so zu manövrieren, wie es zur Vermeidung eines Zusammenstoßes am dienlichsten ist.";Man gibt ein Schallsignal (vier kurze Töne) ab und verlangsamt die Fahrt soweit, dass die Steuerfähigkeit noch erhalten bleibt. Erforderlichenfalls ist ganz aufzustoppen. In jedem Fall ist vorsichtig zu manövrieren, bis die Gefahr eines Zusammenstoßes vorüber ist.;Man gibt mindestens fünf kurze Töne mit der Pfeife ab und reduziert die Geschwindigkeit, um Sog und Wellenschlag zu vermeiden.;B;"Man gibt mindestens fünf kurze Töne mit der Pfeife ab und führt das ""Manöver des letzten Augenblicks"" durch. Dabei ist so zu manövrieren, wie es zur Vermeidung eines Zusammenstoßes am dienlichsten ist.";;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;16;152;Vorschriften & Gesetze;Wo ist festgelegt, welche Wasserflächen Seeschifffahrtsstraßen sind?;;Kollisionsverhütungsregeln und Seeaufgabengesetz.;Seeschifffahrtsstraßen-Ordnung und Kollisionsverhütungsregeln.;Kollisionsverhütungsregeln und Schifffahrtsordnung Emsmündung.;Seeschifffahrtsstraßen-Ordnung und Schifffahrtsordnung Emsmündung.;D;Seeschifffahrtsstraßen-Ordnung und Schifffahrtsordnung Emsmündung.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;17;157;Schifffahrtszeichen;Welches ist - außer in Wattgebieten - die Steuerbordseite eines Fahrwassers?;;Es ist die Seite, auf der die Tonnen mit fortlaufenden geraden Zahlen gekennzeichnet sind.;Es ist die Seite, die ein von See kommendes Schiff an seiner Backbordseite hat.;Es ist die Seite, die von See kommend mit roten Tonnen bezeichnet ist.;Es ist die Seite, die ein von See kommendes Schiff an seiner Steuerbordseite hat.;D;Es ist die Seite, die ein von See kommendes Schiff an seiner Steuerbordseite hat.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;18;166;Verkehrsvorschriften;Wie haben Segelfahrzeuge im Fahrwasser, die nicht deutlich der Richtung eines Fahrwassers folgen, untereinander auszuweichen?;;Sie haben untereinander nach den Regeln der Binnenschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Schifffahrtsordnung Emsmündung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Seeschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;C;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;19;167;Verkehrsvorschriften;Welche Ausweichregeln gelten außerhalb des Fahrwassers?;;Die Regeln der Binnenschifffahrtsstraßen-Ordnung.;Die Regeln der KVR.;Die Regeln der Seeschifffahrtsstraßen-Ordnung.;Die Regeln der Schifffahrtsordnung Emsmündung.;B;Die Regeln der KVR.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;20;177;Schifffahrtszeichen;Welche Bedeutung haben folgende Sichtzeichen?;;Dauernde Sperrung der Seeschifffahrtsstraße.;Außergewöhnliche Schifffahrtsbehinderung.;Schutzbedürftige Anlage.;Dauernde Sperrung einer Teilstrecke der Seeschifffahrtsstraße.;C;Schutzbedürftige Anlage.;"bilder/spezifische_fragen_see_Gebotszeichen-A04b-gif.png;bilder/spezifische_fragen_see_Gebotszeichen-A04c-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A04b-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A04c-gif.png";"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;21;181;Vorschriften & Gesetze;Welche Höchstgeschwindigkeit darf vor Stellen mit erkennbarem Badebetrieb - außerhalb des Fahrwassers - in einem Abstand von 500 m und weniger vom Ufer nicht überschritten werden?;;3,8 Knoten.;4,3 Knoten.;4,8 Knoten.;3,4 Knoten.;B;4,3 Knoten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;22;187;Schifffahrtszeichen;Welche Bedeutung haben folgende Sichtzeichen?;;Schutzbedürftige Anlage. Sog und Wellenschlag vermeiden.;Dauernde Sperrung der Seeschifffahrtsstraße. Weiterfahrt verboten.;Ende einer Gebots- oder Verbotsstrecke. Freie Weiterfahrt.;Außergewöhnliche Schifffahrtsbehinderung. Vorsichtig passieren.;B;Dauernde Sperrung der Seeschifffahrtsstraße. Weiterfahrt verboten.;"bilder/spezifische_fragen_see_Gebotszeichen-A18aa-gif.png;bilder/spezifische_fragen_see_Gebotszeichen-A18ab-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A18aa-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A18ab-gif.png";"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;23;197;Schifffahrtszeichen;"Welche Bedeutung hat folgende Kennung: ""Oc (2) R. Whis.""?";;Blitz (2) rot, Glockentonne.;Leitfeuer rot, zwei Warnsektoren.;Blink (2) rot, Glockentonne.;Unterbrochen (2) rot, Heultonne.;D;Unterbrochen (2) rot, Heultonne.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;24;207;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung?;;Kennzeichnung einer allgemeinen Gefahrenstelle, Ostquadrant. Sie ist östlich zu passieren.;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant. Sie ist westlich zu passieren.;Kennzeichnung einer allgemeinen Gefahrenstelle, Nordquadrant. Sie ist nördlich zu passieren.;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant. Sie ist südlich zu passieren.;B;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant. Sie ist westlich zu passieren.;bilder/spezifische_fragen_see_Feuer-Frage-207-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Feuer-Frage-207-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;25;214;Schifffahrtszeichen;Wie navigiert man mittels eines Quermarkenfeuers?;;Beim Erreichen des Ankündigungssektors die Kursänderung vornehmen.;Beim Übergang vom Ankündigungssektor in den Kursänderungssektor die Kursänderung vornehmen.;Beim Erreichen des Ankündigungssektors Ober- und Unterfeuer in Deckung halten.;Beim Erreichen des Kursänderungssektors den Kurs beibehalten.;B;Beim Übergang vom Ankündigungssektor in den Kursänderungssektor die Kursänderung vornehmen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;26;218;Umwelt- & Naturschutz;Weshalb sollte das Anlaufen von Seehundbänken im Bereich der Watten vermieden werden?;;Seehundbänke sind gesperrte Wasserflächen.;Tiefenangaben zu Seehundbänken sind im Kartenwerk nicht verzeichnet.;Die Tiere sollen nicht gestört oder vertrieben werden.;Im Bereich von Seehundbänken ist mit Untiefen zu rechnen.;C;Die Tiere sollen nicht gestört oder vertrieben werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;27;232;Vorschriften & Gesetze;Welche Angaben enthalten die Nachrichten für Seefahrer (NfS) und die Bekanntmachungen für Seefahrer (BfS)?;;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks sowie die aktuellen Wasserstände.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende Maßnahmen und Ereignisse.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende meteorologische Hinweise.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere Änderungen der Seeschifffahrtsstraßen-Ordnung.;B;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende Maßnahmen und Ereignisse.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;28;243;Navigation;Was versteht man in der terrestrischen Navigation unter einer Peilung?;;Das Feststellen des Koppelortes durch Winkelmessung.;Das Feststellen der Entfernung zu einem bekannten feststehenden Objekt.;Das Feststellen der Abweichung des Steuerkompasses vom Peilkompass.;Das Feststellen der Richtung eines bekannten feststehenden Objektes durch Winkelmessung.;D;Das Feststellen der Richtung eines bekannten feststehenden Objektes durch Winkelmessung.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;29;252;Wetter;Was versteht man unter einem Niedrigwasser?;;Fallen des Wassers nach Eintritt des höchsten Wasserstands.;Eintritt des niedrigsten Wasserstands beim Übergang vom Fallen zum Steigen.;Steigen des Wassers nach Eintritt des niedrigsten Wasserstands.;Eintritt des höchsten Wasserstands beim Übergang vom Steigen zum Fallen.;B;Eintritt des niedrigsten Wasserstands beim Übergang vom Fallen zum Steigen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;30;279;Signale;Welche Notsignale können gegeben werden?;;Leuchtrakete mit rotem Leuchtstern oder rot brennende Handfackel, anhaltendes Ertönen eines Nebelsignalgerätes, dreimaliges Geben (• • • — — — • • •) per Licht oder Ton, dreimal das Wort MAYDAY über Sprechfunk, seitliches Heben und Senken der Arme, Flaggensignal NC, EPIRB, DSC, Radartransponder.;Leuchtrakete mit orangem Leuchtstern oder orange brennende Handfackel, rotes Rauchsignal, anhaltendes Ertönen eines Nebelsignalgerätes, dreimaliges Geben (• • • — — — • • •) per Licht oder Ton, dreimal das Wort MAYDAY über Sprechfunk, seitliches Heben und Senken der Arme, Flaggensignal NC, EPIRB, DSC, Radartransponder.;Leuchtrakete mit rotem Leuchtstern oder rot brennende Handfackel, anhaltendes Ertönen eines Nebelsignalgerätes, dreimaliges Geben (• • • — — — • • •) per Licht oder Ton, Seewasserfärber, seitliches Heben und Senken der Arme, Ball über oder unter Flaggensignal NC, EPIRB, DSC, Radartransponder.;Leuchtrakete mit rotem Leuchtstern oder rot brennende Handfackel, anhaltendes Ertönen eines Nebelsignalgerätes, dreimaliges Geben (— — — • • • — — —) per Licht oder Ton, dreimal das Wort MAYDAY über Sprechfunk, seitliches Heben und Senken der Arme, Flaggensignal NC, EPIRB, DSC, Radartransponder.;A;Leuchtrakete mit rotem Leuchtstern oder rot brennende Handfackel, anhaltendes Ertönen eines Nebelsignalgerätes, dreimaliges Geben (• • • — — — • • •) per Licht oder Ton, dreimal das Wort MAYDAY über Sprechfunk, seitliches Heben und Senken der Arme, Flaggensignal NC, EPIRB, DSC, Radartransponder.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
